ufn,spp,date,site.id,survey.id,seine.id,weight,length.lab,length.field,licing.protocol,cal.cop,lep.cop,unid.cop,chal.a,chal.b,chal.unid,cal.m,cal.paf,cal.af,cal.mot.unid.notgf,cal.mot.notgf,cal.gf,lep.pam,lep.paf,lep.am,lep.af,lep.gf,lep.mot.unid.notgf,comments
U235,SO,15/05/21,D07,DE115,DN215,7.8,100,NA,lab_finescale,1,0,NA,1,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U233,SO,15/05/21,D07,DE115,DN215,9,100,NA,lab_finescale,1,0,NA,5,2,NA,2,0,0,0,2,0,1,0,0,0,0,0,NA
U210,SO,15/05/21,D07,DE115,DN215,10,98,NA,lab_finescale,0,0,NA,5,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U218,SO,15/05/21,D07,DE115,DN215,10,100,NA,lab_finescale,0,0,NA,2,9,NA,1,1,0,0,2,0,0,0,0,0,0,0,NA
U217,SO,15/05/21,D07,DE115,DN215,10.6,100,NA,lab_finescale,0,0,NA,6,1,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA
U241,SO,15/05/21,D07,DE115,DN215,9.3,99,NA,lab_finescale,0,0,NA,5,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U234,SO,15/05/21,D07,DE115,DN215,8.6,103,NA,lab_finescale,1,0,NA,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U216,SO,15/05/21,D07,DE115,DN215,9.6,96,NA,lab_finescale,0,0,NA,3,0,NA,0,0,1,0,1,1,0,0,0,0,0,0,NA
U236,SO,15/05/21,D07,DE115,DN215,11,98,NA,lab_finescale,0,0,NA,9,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2032,CU,15/06/07,D07,DE169,DN269,17.9,123,NA,lab_motiles,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA
U2919,CU,15/06/07,D07,DE169,DN269,8.4,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2934,CU,15/06/07,D07,DE169,DN269,8.2,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA
U3008,CU,15/06/07,D07,DE169,DN269,7.1,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U3026,CU,15/06/07,D07,DE169,DN269,8.8,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U4156,CU,15/06/07,D07,DE169,DN269,9.4,99,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U4157,CU,15/06/07,D07,DE169,DN269,8.2,93,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,NA
U4158,CU,15/06/07,D07,DE169,DN269,7.8,89,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U4970,CU,15/06/07,D07,DE169,DN269,9.6,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,1,0,0,2,0,NA
U4971,CU,15/06/07,D07,DE169,DN269,8.2,91,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2513,PI,15/06/07,D07,DE169,DN269,9.1,92,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2525,PI,15/06/07,D07,DE169,DN269,10.2,100,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,NA
U2530,PI,15/06/07,D07,DE169,DN269,9.7,98,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,0,NA
U2861,PI,15/06/07,D07,DE169,DN269,9,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,0,0,0,NA
U2862,PI,15/06/07,D07,DE169,DN269,10.5,103,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2863,PI,15/06/07,D07,DE169,DN269,8.9,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U826,SO,15/06/07,D07,DE169,DN269,12.8,105,NA,lab_finescale,0,0,NA,3,3,NA,0,2,0,0,2,0,0,0,0,0,0,0,NA
U849,SO,15/06/07,D07,DE169,DN269,8.7,90,NA,lab_finescale,0,0,NA,2,1,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA
U861,SO,15/06/07,D07,DE169,DN269,11.6,100,NA,lab_finescale,1,0,NA,7,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U840,SO,15/06/07,D07,DE169,DN269,11.6,94,NA,lab_finescale,0,0,NA,1,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA
U846,SO,15/06/07,D07,DE169,DN269,7.8,90,NA,lab_finescale,1,0,NA,3,0,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA
U850,SO,15/06/07,D07,DE169,DN269,7.9,84,NA,lab_finescale,0,0,NA,6,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U847,SO,15/06/07,D07,DE169,DN269,10.7,99,NA,lab_finescale,0,0,NA,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U864,SO,15/06/07,D07,DE169,DN269,9.9,105,NA,lab_finescale,0,0,NA,10,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U844,SO,15/06/07,D07,DE169,DN269,6.5,84,NA,lab_finescale,2,0,NA,10,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U845,SO,15/06/07,D07,DE169,DN269,9.7,94,NA,lab_finescale,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2918,CU,15/06/07,J09,JE159,JN259,18.7,124,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2932,CU,15/06/07,J09,JE159,JN259,16.2,125,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U3027,CU,15/06/07,J09,JE159,JN259,14.3,117,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U3028,CU,15/06/07,J09,JE159,JN259,20.3,128,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA
U3029,CU,15/06/07,J09,JE159,JN259,17.7,123,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2531,PI,15/06/07,J09,JE159,JN259,18.7,124,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2532,PI,15/06/07,J09,JE159,JN259,16.5,122,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,NA
