ufn,spp,date,site.id,survey.id,seine.id,cal.cop,lep.cop,unid.cop,chal.a,chal.b,chal.unid,cal.m,cal.paf,cal.af,cal.mot.unid.notgf,cal.mot.notgf,cal.gf,lep.pam,lep.paf,lep.am,lep.af,lep.gf,lep.mot.unid.notgf,comments,licing.protocol,weight,length.lab,length.field
U286,SO,2015-05-19,D08,DE111,DN211,0,0,NA,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,9.2,94,NA
U272,SO,2015-05-19,D08,DE111,DN211,0,0,NA,1,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,6.9,89,NA
U230,SO,2015-05-19,D08,DE111,DN211,1,0,NA,2,2,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,11.5,104,NA
U01,CU,2015-05-20,J05,JE101,JN201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,NA,118,NA
U02,CU,2015-05-20,J05,JE101,JN201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,22.2,128,NA
U11,CU,2015-05-20,J05,JE101,JN201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,NA,132,NA
U12,CU,2015-05-20,J05,JE101,JN201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,NA,143,NA
U03,CU,2015-05-20,J05,JE101,JN201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,24,134,NA
U13,CU,2015-05-20,J05,JE101,JN201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,19.5,122,NA
U04,CU,2015-05-20,J05,JE101,JN201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,22.5,132,NA
U14,CU,2015-05-20,J05,JE101,JN201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,26.3,139,NA
U15,CU,2015-05-20,J05,JE101,JN201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,29.7,147,NA
U05,CU,2015-05-20,J05,JE101,JN201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,13.4,114,NA
U1188,PI,2015-05-20,J05,JE101,JN201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,24.1,135,NA
U3108,CU,2015-05-20,D09,DE112,DN212,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,9.8,99,NA
U3111,CU,2015-05-20,D09,DE112,DN212,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,5.4,82,NA
U3121,CU,2015-05-20,D09,DE112,DN212,NA,NA,NA,NA,NA,NA,2,0,0,0,2,0,0,0,0,0,0,0,NA,lab_motiles,14.1,113,NA
U3122,CU,2015-05-20,D09,DE112,DN212,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,5.5,81,NA
