ufn,spp,date,site.id,survey.id,seine.id,cal.cop,lep.cop,unid.cop,chal.a,chal.b,chal.unid,cal.m,cal.paf,cal.af,cal.mot.unid.notgf,cal.mot.notgf,cal.gf,lep.pam,lep.paf,lep.am,lep.af,lep.gf,lep.mot.unid.notgf,comments,licing.protocol,weight,length.lab,length.field
U268,SO,2015-05-15,D03,DE105,DN205,2,0,NA,3,5,NA,0,0,0,1,1,0,0,0,0,0,0,0,Cal mot UNID missing posterior end,lab_finescale,10.8,95,NA
U269,SO,2015-05-15,D03,DE105,DN205,4,0,NA,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.1,104,NA
U291,SO,2015-05-15,D03,DE105,DN205,0,0,NA,6,0,NA,0,0,0,1,1,0,0,0,0,0,0,0,Cal mot UNID missing posterior end,lab_finescale,11.3,100,NA
U278,SO,2015-05-15,D03,DE105,DN205,1,0,NA,6,8,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,13.3,106,NA
U270,SO,2015-05-15,D03,DE105,DN205,0,0,NA,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,9.9,96,NA
U279,SO,2015-05-15,D03,DE105,DN205,0,0,NA,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,12,97,NA
U290,SO,2015-05-15,D03,DE105,DN205,1,0,NA,5,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,NA,104,NA
U280,SO,2015-05-15,D03,DE105,DN205,1,0,NA,1,1,NA,1,1,0,0,2,0,0,0,0,0,0,0,NA,lab_finescale,19.5,120,NA
U1060,SO,2015-05-15,D03,DE105,DN205,1,0,NA,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,19.9,125,NA
U1082,SO,2015-05-15,D03,DE105,DN205,0,0,NA,6,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,13.6,110,NA
U99,SO,2015-05-15,D05,DE103,DN203,1,0,NA,3,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,7.3,88,NA
U214,SO,2015-05-15,D05,DE103,DN203,1,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,7.6,87,NA
U231,SO,2015-05-15,D05,DE103,DN203,0,0,NA,2,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.7,96,NA
U208,SO,2015-05-15,D05,DE103,DN203,1,0,NA,5,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.2,92,NA
U213,SO,2015-05-15,D05,DE103,DN203,0,0,NA,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,11.4,92,NA
U207,SO,2015-05-15,D05,DE103,DN203,0,0,NA,4,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.6,93,NA
U127,SO,2015-05-15,D05,DE103,DN203,1,0,NA,2,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.2,88,NA
U200,SO,2015-05-15,D05,DE103,DN203,0,0,NA,4,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8,82,NA
U232,SO,2015-05-15,D05,DE103,DN203,1,0,NA,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.9,92,NA
U209,SO,2015-05-15,D05,DE103,DN203,3,0,NA,6,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.2,92,NA
U215,SO,2015-05-15,D05,DE103,DN203,0,0,NA,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.7,100,NA
U4099,CU,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,24.4,NA,NA
U4100,CU,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,8.5,97,NA
U4126,CU,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,14.9,115,NA
U4127,CU,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,15.2,113,NA
U4128,CU,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,15.8,119,NA
U4129,CU,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,7.8,92,NA
U4130,CU,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0,0,0,0,0,NA,lab_motiles,14.1,114,NA
U4131,CU,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,14.8,118,NA
U4132,CU,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,7.7,94,NA
U4133,CU,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,18.9,128,NA
U1393,PI,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,8.3,NA,NA
U1189,PI,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,7.4,97,NA
U4718,SO,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,10.6,107,NA
U4719,SO,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,13.5,113,NA
U4834,SO,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,8.5,100,NA
U4835,SO,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,10.7,108,NA
U4836,SO,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,13.4,110,NA
U4837,SO,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,10.9,106,NA
