"","year","spp","site.region","site_id","collection","ufn","all.cal","all.leps","all.lice"
"42","2015","SO","D","D07","2","U826",2,0,2
"43","2015","SO","D","D07","2","U849",1,0,1
"44","2015","SO","D","D07","2","U861",0,0,0
"45","2015","SO","D","D07","2","U840",0,1,1
"46","2015","SO","D","D07","2","U846",1,0,1
"47","2015","SO","D","D07","2","U850",0,0,0
"48","2015","SO","D","D07","2","U847",0,0,0
"49","2015","SO","D","D07","2","U864",0,0,0
"50","2015","SO","D","D07","2","U844",0,0,0
"51","2015","SO","D","D07","2","U845",0,0,0
"52","2015","CU","J","J09","3","U2918",0,0,0
"53","2015","CU","J","J09","3","U2932",0,0,0
"54","2015","CU","J","J09","3","U3027",0,0,0
"55","2015","CU","J","J09","3","U3028",1,0,1
"56","2015","CU","J","J09","3","U3029",0,0,0
"57","2015","PI","J","J09","3","U2531",0,0,0
"58","2015","PI","J","J09","3","U2532",1,0,1
"59","2015","PI","J","J09","3","U2533",3,0,3
"60","2015","PI","J","J09","3","U2864",0,0,0
"61","2015","PI","J","J09","3","U2865",0,0,0
"62","2015","PI","J","J09","3","U2866",0,0,0
"63","2015","PI","J","J09","3","U2867",0,0,0
"64","2015","PI","J","J09","3","U2868",2,0,2
"65","2015","PI","J","J09","3","U2869",1,0,1
"66","2015","PI","J","J09","3","U2870",2,0,2
"67","2015","SO","J","J09","3","U4710",4,0,4
"68","2015","SO","J","J09","3","U4711",2,0,2
"69","2015","SO","J","J09","3","U4712",0,0,0
"70","2015","SO","J","J09","3","U4713",1,0,1
"71","2015","SO","J","J09","3","U4720",2,0,2
"72","2015","SO","J","J09","3","U4721",1,0,1
"73","2015","SO","J","J09","3","U4722",0,0,0
"74","2015","SO","J","J09","3","U4723",0,0,0
"75","2015","SO","J","J09","3","U4756",0,0,0
"76","2015","SO","J","J09","3","U1044",2,0,2
"77","2015","SO","J","J09","3","U1023",0,0,0
"78","2015","SO","J","J09","3","U1024",1,0,1
"79","2015","SO","J","J09","3","U1025",3,0,3
"80","2015","SO","J","J09","3","U1026",0,0,0
"81","2015","SO","J","J09","3","U1018",1,0,1
"82","2015","SO","J","J09","3","U1019",0,0,0
"83","2015","SO","J","J09","3","U1020",0,0,0
"84","2015","SO","J","J09","3","U1027",8,0,8
"85","2015","SO","J","J09","3","U1042",1,0,1
"86","2015","SO","J","J09","3","U1043",0,0,0
"87","2015","CU","J","J02","4","U2789",0,0,0
"88","2015","CU","J","J02","4","U2790",0,0,0
"89","2015","CU","J","J02","4","U2791",0,1,1
"90","2015","CU","J","J02","4","U2797",0,0,0
"91","2015","CU","J","J02","4","U2909",0,0,0
"92","2015","PI","J","J02","4","U2637",0,0,0
"93","2015","PI","J","J02","4","U2638",0,0,0
"94","2015","PI","J","J02","4","U2639",1,1,2
"95","2015","PI","J","J02","4","U2640",0,0,0
"96","2015","PI","J","J02","4","U2641",0,0,0
"97","2015","PI","J","J02","4","U2842",0,0,0
"98","2015","PI","J","J02","4","U2843",0,0,0
"99","2015","PI","J","J02","4","U2844",0,0,0
"100","2015","PI","J","J02","4","U2845",0,0,0
"101","2015","PI","J","J02","4","U2846",0,0,0
"102","2015","SO","J","J02","4","U1288",0,0,0
"103","2015","SO","J","J02","4","U1311",0,0,0
"104","2015","SO","J","J02","4","U1270",1,0,1
"105","2015","SO","J","J02","4","U1302",2,0,2
"106","2015","SO","J","J02","4","U1292",1,0,1
"107","2015","SO","J","J02","4","U1301",0,0,0
"108","2015","CU","J","J09","5","U2910",0,0,0
"109","2015","CU","J","J09","5","U2911",0,0,0
"110","2015","CU","J","J09","5","U2915",0,0,0
"111","2015","CU","J","J09","5","U3002",2,0,2
"112","2015","CU","J","J09","5","U3004",0,0,0
"113","2015","PI","J","J09","5","U2521",1,0,1
"114","2015","PI","J","J09","5","U2522",2,0,2
"115","2015","PI","J","J09","5","U2642",1,0,1
"116","2015","PI","J","J09","5","U2643",1,0,1
"117","2015","PI","J","J09","5","U2644",1,0,1
"118","2015","PI","J","J09","5","U2847",2,0,2
"119","2015","PI","J","J09","5","U2848",0,0,0
"120","2015","PI","J","J09","5","U2849",0,0,0
"121","2015","PI","J","J09","5","U2850",0,0,0
"122","2015","SO","J","J09","5","U1274",0,0,0
"123","2015","SO","J","J09","5","U1273",0,0,0
"124","2015","SO","J","J09","5","U1275",0,0,0
"125","2015","SO","J","J09","5","U1283",0,0,0
"126","2015","SO","J","J09","5","U1284",0,0,0
"127","2015","SO","J","J09","5","U1286",0,0,0
"128","2015","SO","J","J09","5","U1285",1,1,2
"129","2015","SO","J","J09","5","U1276",1,0,1
"130","2015","SO","J","J09","5","U1238",0,0,0
"131","2015","SO","J","J09","5","U1237",0,0,0
"132","2015","CU","J","J02","6","U3082",0,0,0
"133","2015","CU","J","J02","6","U3083",0,0,0
"134","2015","CU","J","J02","6","U3084",0,0,0
"135","2015","CU","J","J02","6","U3085",0,0,0
"136","2015","CU","J","J02","6","U3086",0,0,0
"137","2015","PI","J","J02","6","U2658",0,0,0
"138","2015","PI","J","J02","6","U2659",1,0,1
"139","2015","PI","J","J02","6","U2891",2,0,2
"140","2015","PI","J","J02","6","U2892",0,0,0
"141","2015","PI","J","J02","6","U2893",0,1,1
"142","2015","PI","J","J02","6","U2894",0,0,0
"143","2015","PI","J","J02","6","U2895",0,0,0
"144","2015","PI","J","J02","6","U2896",0,0,0
"145","2015","PI","J","J02","6","U2897",1,0,1
"146","2015","PI","J","J02","6","U2898",0,0,0
"147","2015","SO","J","J02","6","U647",0,0,0
"148","2015","SO","J","J02","6","U649",0,0,0
"149","2015","SO","J","J02","6","U624",0,0,0
"150","2015","SO","J","J02","6","U626",0,0,0
"151","2015","SO","J","J02","6","U655",3,0,3
"152","2015","SO","J","J02","6","U656",1,0,1
