seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,seine_comments
DN444,DE344,1,targeted,21,11:45:00,49.997783,-125.15945,NA,NA,NA,Yes,9,9,10,70,10,70,0,0,3,3,NA,NA,1,SEMSP,"1st set no fish, interupted oceanography to set. Crafty fish, very skittish. Gone Quickly. Ipad not working and coordinates were taken off phne in degree decimal minutes. 2nd set: after leaving the site."
DN450,DE350,1,random,14,09:24:00,50.307068,-125.329361,NA,NA,NA,No,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,"Set 1 with DFO. DFO set at 09:22, Sloop Jo set at 09:24. Random set, no fish."
DN451,DE350,2,targeted,14,10:02:00,50.307068,-125.329361,NA,NA,NA,No,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,"Set 2 with DFO. DFO set at 10:00, Sloop Jo set at 10:02. Targeted school seen below the surface. No fish."
DN452,DE352,1,targeted,0,06:43:00,50.378699,-125.373927,NA,NA,NA,Yes,6,6,10,300,10,300,0,0,2,2,NA,NA,1,SEMSP,NA
DN453,DE353,1,targeted,18,09:45:00,50.348081,-125.455923,NA,NA,NA,Yes,22,22,10,200,10,40,0,0,0,0,NA,NA,1,SEMSP,NA
DN455,DE355,1,targeted,15,15:15:00,50.462531,-125.359047,NA,NA,NA,Yes,6,6,10,70,10,50,0,0,0,0,NA,NA,1,SEMSP,"Search paused at 14:51, continued at 15:08."
DN457,DE357,1,targeted,7,08:30:00,50.240733,-125.12055,NA,NA,NA,No,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,SEMSP,NA
DN458,DE357,2,targeted,7,08:50:00,50.240733,-125.12055,NA,NA,NA,No,0,0,0,8,0,1,0,0,0,0,NA,NA,NA,SEMSP,NA
DN460,DE360,1,targeted,8,06:40:00,50.275178,-125.378066,NA,NA,NA,Yes,24,24,10,200,10,40,0,0,0,0,NA,NA,1,SEMSP,NA
DN461,DE361,1,targeted,3,09:45:00,50.304502,-125.336639,NA,NA,NA,No,0,1,0,40,0,20,0,0,0,0,NA,NA,NA,SEMSP,re set because there was lots of surface activity elsewhere
DN462,DE361,2,targeted,NA,10:15:00,50.307066,-125.322977,NA,NA,NA,Yes,8,8,10,100,10,100,1,1,0,0,NA,NA,1,SEMSP,"DFO set: @ 09:55. Luke thinks they fd (net twist) But SJ and BJ think different. LR probably correct because we heard swearing from DFO boat during their net retrieval. Our catch enumerated: 195 fish. DFO caught chum, coho, no sox. DFO earlier in the day caight ~ 300 fish mostly pink + chum with chinook at Deep Water Bay."
DN1,DE364,1,targeted,NA,11:12:00,50.18049002,-125.330849,0,0,10,Yes,0,0,4,25,4,15,0,0,0,0,0,0,1,SEMSP,"1 unknown mort. Non-formal visual survey conducted. Performed a trial run of collection procedure, in which the one set was both for retention and sea licing. Fish were anaesthetized (for sea licing), placed into recovery, and then euthanized for retention. Due to time restraints, we weren't able to collect complete packages of 10 fish per species."
DN3,DE365,1,targeted,NA,08:50:00,50.309067,-125.3257,1,0,10,Yes,30,30,2,2,10,50,4,4,0,0,0,0,1,SEMSP,9th chum & water poured out of whirl pack by accident
DN5,DE366,1,targeted,NA,10:47:00,50.17999062,-125.0189455,1,0,10,Yes,30,168,0,0,0,0,5,5,1,1,0,0,1,SEMSP,Informal site survery; did not have time for a lousing seine. First coho out at 11:26; in dewar at unknown time (in quickly though). Coho # 2 onwards out at 12:36
