X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
0.180963543,0.047503583,0.058477058,0.119434987,7.05E-05,0.009928929,0.009580555,0.00639658,0.420542589,0.11096387,0.097037259,0.202906883,2.44E-04,0.0363048,0.025186893,0.017961239,0.060172461,0.011612371,0.013138953,0.019794334,1.91E-05,0.002028953,0.008555825,0.004853492
0.296191522,0.056950171,0.059997425,0.076110549,7.97E-05,0.009579619,0.005765514,0.020801134,0.586848887,0.142463309,0.096578634,0.156661578,2.55E-04,0.039965063,0.013857158,0.06419603,0.057010017,0.010790984,0.010182186,0.012667917,1.50E-05,0.001804897,0.002440656,0.008351561
0.330902304,0.042439725,0.067469375,0.077809768,2.74E-04,0.038984296,0.007153218,0.003621873,0.60662888,0.073387582,0.087902054,0.096383886,8.21E-04,0.117481298,0.01600951,0.008036823,0.060160869,0.006595373,0.010716271,0.01057513,4.79E-05,0.005944062,0.004603072,0.002190475
0.152439026,0.021329008,0.04274715,0.062336049,1.34E-04,0.022539776,0.005019155,0.011045535,0.619747456,0.078359868,0.14693619,0.195238544,8.38E-04,0.135673735,0.022536064,0.045645474,0.102904096,0.010587676,0.01774524,0.01903579,6.66E-05,0.00846916,0.004295181,0.007065774
0.401265248,0.048338047,0.067666939,0.123227418,2.06E-04,0.037427415,0.008959359,0.015319831,0.780414241,0.096621136,0.092209971,0.174815501,6.14E-04,0.121791139,0.018064565,0.033527733,0.072550483,0.006747197,0.009383228,0.012917713,3.41E-05,0.004866116,0.005225096,0.007454924
0.294066808,0.048373846,0.059042373,0.068203175,3.17E-04,0.046470345,0.008610605,0.011503419,0.783124777,0.145943773,0.1236769,0.162710678,0.001334717,0.233365442,0.032547766,0.049501187,0.049371504,0.008597749,0.00967963,0.01183026,5.59E-05,0.008884856,0.004140693,0.005804219
0.210569731,0.036167839,0.047105356,0.081940776,2.49E-04,0.045443494,0.010225717,0.012369621,0.722458626,0.12797851,0.111448683,0.202350939,0.00117976,0.236376247,0.039235518,0.049211792,0.034066054,0.006467476,0.007183306,0.013860008,4.04E-05,0.008233745,0.002758382,0.003660936
0.250118517,0.03761456,0.049826859,0.082510727,1.82E-04,0.027131943,0.004811886,0.010258343,0.833435478,0.112637275,0.136547195,0.204875077,9.22E-04,0.13468395,0.015600155,0.030359892,0.060561768,0.008246678,0.013110609,0.019463301,4.74E-05,0.006662578,0.003218421,0.006328337
0.188684164,0.026719786,0.042739533,0.074146657,1.39E-04,0.028327941,0.003258293,0.010608483,0.593957724,0.080527917,0.085434228,0.143987164,6.06E-04,0.128499358,0.012219805,0.039590682,0.045022624,0.00623127,0.008704301,0.014739691,3.18E-05,0.006476275,0.001825015,0.00600232
0.234319553,0.012629588,0.054425862,0.053529502,2.12E-04,0.02969648,0.001754613,0.00269223,0.651411673,0.033842612,0.121701575,0.115748688,9.03E-04,0.12992552,0.007282522,0.010786076,0.047842832,0.002209707,0.011925209,0.00990227,4.50E-05,0.005543884,3.80E-04,5.03E-04
0.301830676,0.038858034,0.039594434,0.064498994,1.67E-04,0.019425788,0.008375151,0.005093008,0.920502551,0.111514296,0.111952886,0.172062705,7.79E-04,0.092735356,0.020655133,0.01165146,0.046470008,0.005474755,0.003615747,0.005157439,2.23E-05,0.002344133,0.007126791,0.004630368
0.221317267,0.022509094,0.056203363,0.064332986,2.39E-04,0.041091323,0.004679876,0.008151186,0.701179638,0.071688036,0.092345993,0.114763883,9.18E-04,0.172769955,0.010634407,0.019796183,0.078112957,0.005959509,0.011854764,0.010540388,6.27E-05,0.008384951,0.003161522,0.004415394
0.212181036,0.032288944,0.020097616,0.065217766,1.62E-04,0.059325301,0.003677796,0.013331708,0.503507829,0.074574285,0.040045292,0.12694257,6.75E-04,0.258070675,0.010336938,0.037105833,0.084672006,0.010808148,0.005391755,0.014579268,5.27E-05,0.016299801,0.002306972,0.007366606
